ER10002,ER10039,ER10040,ER10041,ER10042,ER10043,ER10044,ER10045,ER10046,ER10047,ER10048,ER10049,ER10050,ER10051,ER10052,ER10053,ER10054,ER10055,ER10056,ER10057,ER10058,ER10060,ER21002,ER21048,ER21049,ER21050,ER21051,ER21052,ER21053,ER21054,ER21055,ER21056,ER21057,ER21058,ER21059,ER21060,ER21061,ER21062,ER21063,ER21064,ER21065,ER21066,ER21067,ER21068,ER21069,ER21070,ER21072,ER22621,S606,S620,ER36002,ER36039,ER36040,ER36041,ER36042,ER36043,ER36044,ER36045,ER36046,ER36047,ER36048,ER36049,ER36050,ER36051,ER36052,ER36053,ER36054,ER36055,ER36056,ER36057,ER36058,ER36059,ER36060,ER36061,ER36062,ER36063,ER36065,ER37620,S806,S820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,5,0,0
2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1,1,0
2549,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,1,1,0,1,0,150000,0,1400,0,7,0,250,0,1994,0,28,0,5,0,1,0,2619,1,1,2,180000,0,1500,0,5,750,2002,14,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,200000,3618,1,1,2,220000,0,2285,0,5,250,1,2006,13,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,400000
,,,,,,,,,,,,,,,,,,,,,,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,1,1,0,390,1,1,1,45000,0,426,0,7,0,1,2006,29,1,1,1,80000,0,908,0,11,0,1,2006,29,5,0,1,1,65000
,,,,,,,,,,,,,,,,,,,,,,6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1,1,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894,1,3,0,83000,0,830,0,6,500,1,2004,21,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,47000
4643,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,190000,4828,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,150000
